TGD Number,City,State
1,Houston,TX
2,NYC,NY
3,NYC,NY
4,NYC,NY
5,Las Vegas,NV
6,Fort Wayne,IN
7,Minneapolis,MN
8,Minneapolis,MN
9,Minneapolis,MN
10,Minneapolis,MN
11,Denver,CO
12,Louisville,KY
13,Denver,CO
14,Lincoln,NE
15,Atlanta,GA
16,Minneapolis,MN
17,Atlanta,GA
18,Columbus,OH
19,Detroit,MI
20,New York City,NY
21,Harrisburg,PA
22,San Jose,CA
23,Columbus,OH
24,Salt Lake City,UT
25,New York City,NY
26,Minneapolis,MN
27,Raleigh,NC
28,Raleigh,NC
29,Minneapolis,MN
30,Minneapolis,MN
31,Philadelphia,PA
32,Seattle,WA
33,Denver,CO
34,Los Angeles,CA
35,Columbus,OH
36,New York City,NY
37,New York City,NY
38,Chicago,IL
39,Chicago,IL
40,Dallas,TX
41,Seattle,WA
42,Minneapolis,MN
43,Detroit,MI
44,Cleveland,OH
45,Erie,PA
46,Minneapolis,MN
47,Minneapolis,MN
48,New York City,NY
49,New York City,NY
50,Columbus,OH
51,New York City,NY
52,Sacramento,CA
53,Louisville,KY
54,Atlanta,GA
55,San Antonio,TX
56,Denver,CO
57,Manassas,VA
58,Fort Wayne,IN
59,Denver,CO
60,Richmond,VA
61,Austin,TX
62,Charleston,SC
63,San Diego,CA
64,Minneapolis,MN
65,La Mesa,CA
66,Las Vegas,NV
67,Cincinnati,OH
68,Fort Lauderdale,FL
69,Long Beach,CA
70,Los Angeles,CA
71,New York City,NY
72,Grand Rapids,MI
73,Grand Rapids,MI
74,Minneapolis,MN
75,Murfreesboro,TN
76,Raleigh,NC
77,Fredericksburg,VA
78,Charleston,SC
79,Minneapolis,MN
80,Kansas City,MO
81,El Paso,TX
82,New York City,NY
83,Boston,MA
84,San Francisco,CA
85,Jacksonville,FL
86,Richmond,VA
87,Los Angeles,CA
88,Seattle,WA
89,Seattle,WA
90,Seattle,WA
91,Seattle,WA
92,Richmond,VA
93,Richmond,VA
94,Columbus,OH
95,Columbus,OH
96,Detroit,MI
97,Fort Lauderdale,FL
98,Louisville,KY
99,Miami,FL
100,Washington,DC
101,Seattle,WA
102,Raleigh,NC
103,Boston,MA
104,Dallas,TX
105,Los Angeles,CA
106,Austin,TX
107,Los Angeles,CA
108,Long Beach,CA
110,Columbus,OH
111,Indianapolis,IN
112,Des Moines,IA
113,Philadelphia,PA
114,Chicago,IL
115,Denver,CO
116,Philadelphia,PA
117,Denver,CO
118,Los Angeles,CA
119,Los Angeles,CA
120,Washington,DC
121,Atlanta,GA
122,Richmond,VA
123,Los Angeles,CA
124,Philadelphia,PA
125,Richmond,VA
126,Little Rock,AK
127,Richmond,VA
128,Washington,DC
129,Atlanta,GA
130,Omaha,NE
